📺央视频道,#genre#
CCTV-13,http://114.241.217.205:4022/rtp/239.3.1.124:8128
CCTV-13,http://114.246.201.137:7088/rtp/239.3.1.124:8128
CCTV-13,http://171.15.18.199:8180/TV00000000000000000013@HHZT
CCTV-13,http://171.38.41.206:8181/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://www.cdnstv.com:6398/hls/13/index.m3u8
CCTV-14,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_OLaWb.php?id=CCTV14
CCTV-14,http://xvod.iptv8.com:8090/storage/channel/vod/vodheb.php?cid=cctv14hd&playseek=
CCTV-14,http://lzoq.serv00.net/daili/Smartv.php?id=cctv14
CCTV-14,http://php.cqshushu.ggff.net/jzb.php?id=cctv14&公众号【医工学习日志】
CCTV-14,http://web9916.w.computerqwq.cf/jzb.php?id=cctv14&公众号【医工学习日志】
CCTV-14,http://114.241.217.98:4022/rtp/239.3.1.65:8132
CCTV-14,http://114.241.217.205:4022/rtp/239.3.1.65:8132
CCTV-14,http://171.15.18.199:8180/TV00000000000000000014@HHZT
CCTV-14,http://171.38.41.206:8181/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://www.cdnstv.com:6398/hls/14/index.m3u8
CCTV-15,http://xvod.iptv8.com:8090/storage/channel/vod/vodheb.php?cid=cctv15hd&playseek=
CCTV-15,http://lzoq.serv00.net/daili/Smartv.php?id=cctv15
CCTV-15,http://php.cqshushu.ggff.net/jzb.php?id=cctv15&公众号【医工学习日志】
CCTV-15,http://web9916.w.computerqwq.cf/jzb.php?id=cctv15&公众号【医工学习日志】
CCTV-15,http://114.241.217.98:4022/rtp/239.3.1.153:8136
CCTV-15,http://171.213.138.42:4443/udp/239.93.0.103:5140
CCTV-15,http://114.241.217.205:4022/rtp/239.3.1.153:8136
CCTV-15,http://171.38.41.206:8181/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://www.cdnstv.com:6398/hls/15/index.m3u8
CCTV-15,http://111.194.235.76:4022/rtp/239.3.1.153:8136
CCTV-16,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_OLaWb.php?id=CCTV16
CCTV-16,http://xvod.iptv8.com:8090/storage/channel/vod/vodheb.php?cid=cctv16hd&playseek=
CCTV-16,http://39.137.75.230/000000001000/1000000006000233001/index.m3u8?channel-id=ystenlive&Contentid=1000000006000233001&livemode=1&stbId=no
CCTV-16,http://114.241.217.98:4022/rtp/239.3.1.184:8001
CCTV-16,http://114.241.217.205:4022/rtp/239.3.1.184:8001
CCTV-16,http://111.194.235.76:4022/rtp/239.3.1.184:8001
CCTV-16,http://111.43.126.240:9003/hls/86/index.m3u8
