# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!

CCTV-15,http://115.51.7.106:9901/tsfile/live/0015_1.m3u8
CCTV-5,http://115.51.7.106:9901/tsfile/live/0005_1.m3u8
河南卫视,http://115.51.7.106:9901/tsfile/live/1034_1.m3u8
浙江卫视,http://115.51.7.106:9901/tsfile/live/0124_1.m3u8
湖南卫视,http://115.51.7.106:9901/tsfile/live/0128_1.m3u8
东方卫视,http://115.51.7.106:9901/tsfile/live/0107_1.m3u8
江苏卫视,http://115.51.7.106:9901/tsfile/live/0127_1.m3u8
安徽卫视,http://115.51.7.106:9901/tsfile/live/0130_1.m3u8
北京卫视,http://115.51.7.106:9901/tsfile/live/0122_1.m3u8
深圳卫视,http://115.51.7.106:9901/tsfile/live/0126_1.m3u8
重庆卫视,http://115.51.7.106:9901/tsfile/live/0142_1.m3u8
山东卫视,http://115.51.7.106:9901/tsfile/live/0131_1.m3u8
贵州卫视,http://115.51.7.106:9901/tsfile/live/0120_1.m3u8
陕西卫视,http://115.51.7.106:9901/tsfile/live/0136_1.m3u8
广西卫视,http://115.51.7.106:9901/tsfile/live/0113_1.m3u8
云南卫视,http://115.51.7.106:9901/tsfile/live/0119_1.m3u8
四川卫视,http://115.51.7.106:9901/tsfile/live/0123_1.m3u8
湖北卫视,http://115.51.7.106:9901/tsfile/live/0132_1.m3u8
河北卫视,http://115.51.7.106:9901/tsfile/live/0117_1.m3u8
江西卫视,http://115.51.7.106:9901/tsfile/live/0138_1.m3u8
山西卫视,http://115.51.7.106:9901/tsfile/live/0118_1.m3u8
宁夏卫视,http://115.51.7.106:9901/tsfile/live/0112_1.m3u8
吉林卫视,http://115.51.7.106:9901/tsfile/live/0116_1.m3u8
辽宁卫视,http://115.51.7.106:9901/tsfile/live/0121_1.m3u8
天津卫视,http://115.51.7.106:9901/tsfile/live/0135_1.m3u8
广东卫视,http://115.51.7.106:9901/tsfile/live/0125_1.m3u8
黑龙江卫视,http://115.51.7.106:9901/tsfile/live/0143_1.m3u8
CCTV-1,http://222.136.138.73:9901/tsfile/live/0001_1.m3u8
CCTV-2,http://222.136.138.73:9901/tsfile/live/0002_1.m3u8
CCTV-3,http://222.136.138.73:9901/tsfile/live/0003_1.m3u8
CCTV-4,http://222.136.138.73:9901/tsfile/live/0004_1.m3u8
CCTV-5,http://222.136.138.73:9901/tsfile/live/0016_1.m3u8
CCTV-6,http://222.136.138.73:9901/tsfile/live/0006_1.m3u8
CCTV-7,http://222.136.138.73:9901/tsfile/live/0007_1.m3u8
CCTV-8,http://222.136.138.73:9901/tsfile/live/0008_1.m3u8
CCTV-9,http://222.136.138.73:9901/tsfile/live/0009_1.m3u8
CCTV-10,http://222.136.138.73:9901/tsfile/live/0010_1.m3u8
CCTV-11,http://222.136.138.73:9901/tsfile/live/0011_1.m3u8
CCTV-12,http://222.136.138.73:9901/tsfile/live/0012_1.m3u8
CCTV-13,http://222.136.138.73:9901/tsfile/live/0013_1.m3u8
CCTV-14,http://222.136.138.73:9901/tsfile/live/0014_1.m3u8
CCTV-15,http://222.136.138.73:9901/tsfile/live/0015_1.m3u8
CCTV-5,http://222.136.138.73:9901/tsfile/live/0005_1.m3u8
河南卫视,http://222.136.138.73:9901/tsfile/live/1034_1.m3u8
浙江卫视,http://222.136.138.73:9901/tsfile/live/0124_1.m3u8
湖南卫视,http://222.136.138.73:9901/tsfile/live/0128_1.m3u8
东方卫视,http://222.136.138.73:9901/tsfile/live/0107_1.m3u8
江苏卫视,http://222.136.138.73:9901/tsfile/live/0127_1.m3u8
安徽卫视,http://222.136.138.73:9901/tsfile/live/0130_1.m3u8
北京卫视,http://222.136.138.73:9901/tsfile/live/0122_1.m3u8
深圳卫视,http://222.136.138.73:9901/tsfile/live/0126_1.m3u8
重庆卫视,http://222.136.138.73:9901/tsfile/live/0142_1.m3u8
山东卫视,http://222.136.138.73:9901/tsfile/live/0131_1.m3u8
贵州卫视,http://222.136.138.73:9901/tsfile/live/0120_1.m3u8
陕西卫视,http://222.136.138.73:9901/tsfile/live/0136_1.m3u8
广西卫视,http://222.136.138.73:9901/tsfile/live/0113_1.m3u8
云南卫视,http://222.136.138.73:9901/tsfile/live/0119_1.m3u8
四川卫视,http://222.136.138.73:9901/tsfile/live/0123_1.m3u8
湖北卫视,http://222.136.138.73:9901/tsfile/live/0132_1.m3u8
河北卫视,http://222.136.138.73:9901/tsfile/live/0117_1.m3u8
江西卫视,http://222.136.138.73:9901/tsfile/live/0138_1.m3u8
山西卫视,http://222.136.138.73:9901/tsfile/live/0118_1.m3u8
宁夏卫视,http://222.136.138.73:9901/tsfile/live/0112_1.m3u8
吉林卫视,http://222.136.138.73:9901/tsfile/live/0116_1.m3u8
辽宁卫视,http://222.136.138.73:9901/tsfile/live/0121_1.m3u8
天津卫视,http://222.136.138.73:9901/tsfile/live/0135_1.m3u8
广东卫视,http://222.136.138.73:9901/tsfile/live/0125_1.m3u8
黑龙江卫视,http://222.136.138.73:9901/tsfile/live/0143_1.m3u8
CCTV-1,http://110.81.206.138:49231/tsfile/live/23001_1.m3u8
CCTV-2,http://110.81.206.138:49231/tsfile/live/23002_1.m3u8
CCTV-3,http://110.81.206.138:49231/tsfile/live/23003_1.m3u8
CCTV-4,http://110.81.206.138:49231/tsfile/live/23004_1.m3u8
CCTV-5,http://110.81.206.138:49231/tsfile/live/23005_1.m3u8
CCTV-6,http://110.81.206.138:49231/tsfile/live/23006_1.m3u8
CCTV-7,http://110.81.206.138:49231/tsfile/live/23007_1.m3u8
CCTV-8,http://110.81.206.138:49231/tsfile/live/23008_1.m3u8
CCTV-9,http://110.81.206.138:49231/tsfile/live/23009_1.m3u8
CCTV-10,http://110.81.206.138:49231/tsfile/live/23010_1.m3u8
CCTV-11,http://110.81.206.138:49231/tsfile/live/23011_1.m3u8
CCTV-12,http://110.81.206.138:49231/tsfile/live/23012_1.m3u8
CCTV-13,http://110.81.206.138:49231/tsfile/live/23013_1.m3u8
CCTV-14,http://110.81.206.138:49231/tsfile/live/23014_1.m3u8
CCTV-15,http://110.81.206.138:49231/tsfile/live/23015_1.m3u8
CCTV-17,http://110.81.206.138:49231/tsfile/live/23017_1.m3u8
CCTV-5,http://110.81.206.138:49231/tsfile/live/23018_1.m3u8
