# 这是接口或订阅源的白名单，白名单内的接口或订阅源获取的接口将不会参与测速，优先排序至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。

山东卫视,http://36.135.118.195:85/tsfile/live/0131_1.m3u8
贵州卫视,http://36.135.118.195:85/tsfile/live/0120_1.m3u8
黑龙江卫视,http://36.135.118.195:85/tsfile/live/0143_1.m3u8
河北卫视,http://36.135.118.195:85/tsfile/live/0117_1.m3u8
东南卫视,http://36.135.118.195:85/tsfile/live/0137_1.m3u8
湖北卫视,http://36.135.118.195:85/tsfile/live/0132_1.m3u8
重庆卫视,http://36.135.118.195:85/tsfile/live/0142_1.m3u8
云南卫视,http://36.135.118.195:85/tsfile/live/0119_1.m3u8
陕西卫视,http://36.135.118.195:85/tsfile/live/0136_1.m3u8
青海卫视,http://36.135.118.195:85/tsfile/live/0140_1.m3u8
兵团卫视,http://36.135.118.195:85/tsfile/live/0115_1.m3u8
甘肃卫视,http://36.135.118.195:85/tsfile/live/0141_1.m3u8
河南卫视,http://36.135.118.195:85/tsfile/live/0139_1.m3u8
宁夏卫视,http://36.135.118.195:85/tsfile/live/0112_1.m3u8
江西卫视,http://36.135.118.195:85/tsfile/live/1017_1.m3u8
广西卫视,http://36.135.118.195:85/tsfile/live/0113_1.m3u8
四川卫视,http://36.135.118.195:85/tsfile/live/0123_1.m3u8
CCTV-5,http://36.135.118.195:85/tsfile/live/0016_1.m3u8

CCTV-1,http://171.116.255.187:9003/hls/1/index.m3u8
CCTV-2,http://171.116.255.187:9003/hls/2/index.m3u8
CCTV-3,http://171.116.255.187:9003/hls/3/index.m3u8
CCTV-4,http://171.116.255.187:9003/hls/4/index.m3u8
CCTV-5,http://171.116.255.187:9003/hls/5/index.m3u8
CCTV-6,http://171.116.255.187:9003/hls/7/index.m3u8
CCTV-7,http://171.116.255.187:9003/hls/8/index.m3u8
CCTV-8,http://171.116.255.187:9003/hls/9/index.m3u8
CCTV-9,http://171.116.255.187:9003/hls/10/index.m3u8
CCTV-10,http://171.116.255.187:9003/hls/11/index.m3u8
CCTV-11,http://171.116.255.187:9003/hls/12/index.m3u8
CCTV-12,http://171.116.255.187:9003/hls/13/index.m3u8
CCTV-13,http://171.116.255.187:9003/hls/14/index.m3u8
CCTV-14,http://171.116.255.187:9003/hls/15/index.m3u8
CCTV-15,http://171.116.255.187:9003/hls/16/index.m3u8
CCTV-16,http://171.116.255.187:9003/hls/17/index.m3u8
CCTV-17,http://171.116.255.187:9003/hls/18/index.m3u8
CCTV-怀旧剧场,http://171.116.255.187:9003/hls/58/index.m3u8
CCTV-世界地理,http://171.116.255.187:9003/hls/59/index.m3u8
CCTV-第一剧场,http://171.116.255.187:9003/hls/60/index.m3u8
CCTV-风云剧场,http://171.116.255.187:9003/hls/61/index.m3u8
山西卫视,http://171.116.255.187:9003/hls/19/index.m3u8
北京卫视,http://171.116.255.187:9003/hls/20/index.m3u8
安徽卫视,http://171.116.255.187:9003/hls/21/index.m3u8
重庆卫视,http://171.116.255.187:9003/hls/22/index.m3u8
东方卫视,http://171.116.255.187:9003/hls/23/index.m3u8
东南卫视,http://171.116.255.187:9003/hls/24/index.m3u8
甘肃卫视,http://171.116.255.187:9003/hls/25/index.m3u8
广东卫视,http://171.116.255.187:9003/hls/26/index.m3u8
广西卫视,http://171.116.255.187:9003/hls/27/index.m3u8
海南卫视,http://171.116.255.187:9003/hls/28/index.m3u8
河北卫视,http://171.116.255.187:9003/hls/29/index.m3u8
河南卫视,http://171.116.255.187:9003/hls/30/index.m3u8
黑龙江卫视,http://171.116.255.187:9003/hls/31/index.m3u8
湖北卫视,http://171.116.255.187:9003/hls/32/index.m3u8
湖南卫视,http://171.116.255.187:9003/hls/33/index.m3u8
吉林卫视,http://171.116.255.187:9003/hls/34/index.m3u8
江苏卫视,http://171.116.255.187:9003/hls/35/index.m3u8
江西卫视,http://171.116.255.187:9003/hls/36/index.m3u8
辽宁卫视,http://171.116.255.187:9003/hls/37/index.m3u8
内蒙古卫视,http://171.116.255.187:9003/hls/38/index.m3u8
宁夏卫视,http://171.116.255.187:9003/hls/39/index.m3u8
青海卫视,http://171.116.255.187:9003/hls/40/index.m3u8
陕西卫视,http://171.116.255.187:9003/hls/42/index.m3u8
深圳卫视,http://171.116.255.187:9003/hls/43/index.m3u8
四川卫视,http://171.116.255.187:9003/hls/44/index.m3u8
天津卫视,http://171.116.255.187:9003/hls/45/index.m3u8
西藏卫视,http://171.116.255.187:9003/hls/46/index.m3u8
新疆卫视,http://171.116.255.187:9003/hls/47/index.m3u8
云南卫视,http://171.116.255.187:9003/hls/48/index.m3u8
浙江卫视,http://171.116.255.187:9003/hls/49/index.m3u8

CCTV-1,http://110.178.211.205:9003/hls/1/index.m3u8
CCTV-2,http://110.178.211.205:9003/hls/2/index.m3u8
CCTV-3,http://110.178.211.205:9003/hls/3/index.m3u8
CCTV-4,http://110.178.211.205:9003/hls/4/index.m3u8
CCTV-5,http://110.178.211.205:9003/hls/5/index.m3u8
CCTV-5+,http://110.178.211.205:9003/hls/6/index.m3u8
CCTV-6,http://110.178.211.205:9003/hls/7/index.m3u8
CCTV-7,http://110.178.211.205:9003/hls/8/index.m3u8
CCTV-8,http://110.178.211.205:9003/hls/9/index.m3u8
CCTV-9,http://110.178.211.205:9003/hls/10/index.m3u8
CCTV-10,http://110.178.211.205:9003/hls/11/index.m3u8
CCTV-11,http://110.178.211.205:9003/hls/12/index.m3u8
CCTV-12,http://110.178.211.205:9003/hls/13/index.m3u8
CCTV-13,http://110.178.211.205:9003/hls/14/index.m3u8
CCTV-14,http://110.178.211.205:9003/hls/15/index.m3u8
CCTV-15,http://110.178.211.205:9003/hls/16/index.m3u8
CCTV-16,http://110.178.211.205:9003/hls/17/index.m3u8
CCTV-17,http://110.178.211.205:9003/hls/18/index.m3u8
山西卫视,http://110.178.211.205:9003/hls/19/index.m3u8
北京卫视,http://110.178.211.205:9003/hls/20/index.m3u8
安徽卫视,http://110.178.211.205:9003/hls/21/index.m3u8
重庆卫视,http://110.178.211.205:9003/hls/22/index.m3u8
东方卫视,http://110.178.211.205:9003/hls/23/index.m3u8
东南卫视,http://110.178.211.205:9003/hls/24/index.m3u8
甘肃卫视,http://110.178.211.205:9003/hls/25/index.m3u8
广东卫视,http://110.178.211.205:9003/hls/26/index.m3u8
广西卫视,http://110.178.211.205:9003/hls/27/index.m3u8
海南卫视,http://110.178.211.205:9003/hls/28/index.m3u8
河北卫视,http://110.178.211.205:9003/hls/29/index.m3u8
河南卫视,http://110.178.211.205:9003/hls/30/index.m3u8
